customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_total,rfm_label
CLR-00056,925,2,168.34,1,1,1,3,Lost
CLR-00057,58,13,1202.8,4,5,4,13,Champions
CLR-00058,217,15,1253.76,2,5,4,11,At Risk
CLR-00059,55,11,1401.77,4,4,4,12,Champions
CLR-00060,86,26,2664.49,3,5,5,13,Loyal Customers
CLR-00061,111,7,600.38,3,3,3,9,Loyal Customers
CLR-00062,200,6,856.02,2,3,3,8,At Risk
CLR-00063,19,8,843.55,5,3,3,11,Loyal Customers
CLR-00064,7,10,1099.37,5,4,4,13,Champions
CLR-00065,85,8,870.91,3,3,3,9,Loyal Customers
CLR-00066,718,1,65.52,1,1,1,3,Lost
CLR-00067,434,6,715.66,1,3,3,7,At Risk
CLR-00068,982,1,78.9,1,1,1,3,Lost
CLR-00069,430,23,2750.5,1,5,5,11,At Risk
CLR-00070,55,6,608.29,4,3,3,10,Loyal Customers
CLR-00071,205,6,645.43,2,3,3,8,At Risk
CLR-00072,197,6,683.42,2,3,3,8,At Risk
CLR-00073,58,3,343.89,4,2,2,8,New Customers
CLR-00074,80,2,471.6,3,1,2,6,Potential Loyalists
CLR-00075,518,1,183.9,1,1,1,3,Lost
CLR-00076,591,6,699.52,1,3,3,7,At Risk
CLR-00077,359,2,285.95,2,1,2,5,Lost
CLR-00079,33,6,802.98,4,3,3,10,Loyal Customers
CLR-00080,2,38,5250.5,5,5,5,15,Champions
CLR-00081,0,13,1066.57,5,5,4,14,Champions
CLR-00082,106,4,347.79,3,2,2,7,Potential Loyalists
CLR-00083,3,10,1442.83,5,4,4,13,Champions
CLR-00084,444,5,447.89,1,2,2,5,Lost
CLR-00085,12,42,4978.55,5,5,5,15,Champions
CLR-00086,532,4,660.68,1,2,3,6,Lost
CLR-00087,27,4,181.98,5,2,1,8,New Customers
CLR-00088,591,5,581.75,1,2,3,6,Lost
CLR-00089,1,28,3031.15,5,5,5,15,Champions
CLR-00090,112,16,1882.2,3,5,5,13,Loyal Customers
CLR-00091,514,7,803.37,1,3,3,7,At Risk
CLR-00092,511,13,1562.78,1,5,5,11,At Risk
CLR-00093,574,2,223.8,1,1,1,3,Lost
CLR-00094,711,1,126.68,1,1,1,3,Lost
CLR-00095,19,14,1362.59,5,5,4,14,Champions
CLR-00096,21,11,1830.11,5,4,5,14,Champions
CLR-00097,26,16,1775.63,5,5,5,15,Champions
CLR-00098,597,1,107.8,1,1,1,3,Lost
CLR-00099,46,3,531.42,4,2,3,9,New Customers
CLR-00101,716,2,240.03,1,1,1,3,Lost
CLR-00102,157,5,735.72,3,2,3,8,Potential Loyalists
CLR-00103,199,2,278.25,2,1,2,5,Lost
CLR-00104,62,8,1030.76,4,3,4,11,Loyal Customers
CLR-00105,33,2,217.25,4,1,1,6,New Customers
CLR-00106,643,1,37.71,1,1,1,3,Lost
CLR-00107,329,6,978.78,2,3,4,9,At Risk
CLR-00108,500,5,627.18,1,2,3,6,Lost
CLR-00109,345,4,359.54,2,2,2,6,Lost
CLR-00110,32,16,1414.96,4,5,4,13,Champions
CLR-00112,603,4,397.35,1,2,2,5,Lost
CLR-00113,602,3,404.6,1,2,2,5,Lost
CLR-00114,396,4,581.98,1,2,3,6,Lost
CLR-00115,172,13,1309.79,2,5,4,11,At Risk
CLR-00116,865,1,56.9,1,1,1,3,Lost
CLR-00117,184,10,1187.57,2,4,4,10,At Risk
CLR-00118,27,10,1107.13,5,4,4,13,Champions
CLR-00119,66,12,1937.25,4,4,5,13,Champions
CLR-00120,184,2,213.56,2,1,1,4,Lost
CLR-00121,129,2,271.8,3,1,2,6,Potential Loyalists
CLR-00122,160,7,920.07,3,3,4,10,Loyal Customers
CLR-00123,49,1,148.66,4,1,1,6,New Customers
CLR-00124,93,18,2469.71,3,5,5,13,Loyal Customers
CLR-00125,133,11,1473.14,3,4,4,11,Loyal Customers
CLR-00126,352,2,248.53,2,1,1,4,Lost
CLR-00127,511,1,72.9,1,1,1,3,Lost
CLR-00128,13,20,2547.84,5,5,5,15,Champions
CLR-00129,168,1,77.8,2,1,1,4,Lost
CLR-00130,87,13,1230.91,3,5,4,12,Loyal Customers
CLR-00131,28,4,227.39,5,2,1,8,New Customers
CLR-00132,303,1,195.9,2,1,1,4,Lost
CLR-00133,68,17,1667.02,4,5,5,14,Champions
CLR-00134,57,2,206.8,4,1,1,6,New Customers
CLR-00135,626,2,329.8,1,1,2,4,Lost
CLR-00136,415,15,1537.31,1,5,5,11,At Risk
CLR-00137,9,19,2550.58,5,5,5,15,Champions
CLR-00138,64,4,282.36,4,2,2,8,New Customers
CLR-00139,274,9,863.98,2,4,3,9,At Risk
CLR-00140,79,5,686.03,3,2,3,8,Potential Loyalists
CLR-00141,119,3,116.92,3,2,1,6,Other
CLR-00142,73,1,51.21,3,1,1,5,Other
CLR-00143,66,4,303.85,4,2,2,8,New Customers
CLR-00144,26,9,860.58,5,4,3,12,Loyal Customers
CLR-00145,89,9,1223.14,3,4,4,11,Loyal Customers
CLR-00146,1019,1,122.9,1,1,1,3,Lost
CLR-00147,134,7,920.61,3,3,4,10,Loyal Customers
CLR-00148,15,11,1255.02,5,4,4,13,Champions
CLR-00149,647,7,828.09,1,3,3,7,At Risk
CLR-00150,229,7,526.25,2,3,2,7,Other
CLR-00151,44,2,148.92,4,1,1,6,New Customers
CLR-00152,18,14,1192.25,5,5,4,14,Champions
CLR-00153,173,3,324.78,2,2,2,6,Lost
CLR-00154,213,5,788.36,2,2,3,7,Lost
CLR-00155,91,3,493.91,3,2,2,7,Potential Loyalists
CLR-00156,676,2,283.6,1,1,2,4,Lost
CLR-00157,612,3,494.02,1,2,2,5,Lost
CLR-00158,619,3,233.45,1,2,1,4,Lost
CLR-00159,116,3,261.71,3,2,2,7,Potential Loyalists
CLR-00160,154,4,197.64,3,2,1,6,Other
CLR-00161,248,9,700.99,2,4,3,9,At Risk
CLR-00162,406,2,246.82,1,1,1,3,Lost
CLR-00163,60,19,2320.47,4,5,5,14,Champions
CLR-00164,166,3,429.31,2,2,2,6,Lost
CLR-00166,488,4,499.54,1,2,2,5,Lost
CLR-00167,471,2,336.01,1,1,2,4,Lost
CLR-00168,148,12,1241.75,3,4,4,11,Loyal Customers
CLR-00169,0,4,850.04,5,2,3,10,New Customers
CLR-00170,9,20,2052.61,5,5,5,15,Champions
CLR-00171,63,19,2417.15,4,5,5,14,Champions
CLR-00173,438,3,419.62,1,2,2,5,Lost
CLR-00174,433,6,797.09,1,3,3,7,At Risk
CLR-00175,98,6,720.6,3,3,3,9,Loyal Customers
CLR-00176,501,17,1767.91,1,5,5,11,At Risk
CLR-00177,337,8,853.7,2,3,3,8,At Risk
CLR-00178,486,7,1100.47,1,3,4,8,At Risk
CLR-00179,169,1,119.9,2,1,1,4,Lost
CLR-00180,110,3,336.42,3,2,2,7,Potential Loyalists
CLR-00181,0,30,2409.2,5,5,5,15,Champions
CLR-00182,5,30,4158.83,5,5,5,15,Champions
CLR-00183,199,3,319.07,2,2,2,6,Lost
CLR-00184,19,12,1460.92,5,4,4,13,Champions
CLR-00185,3,4,381.1,5,2,2,9,New Customers
CLR-00186,322,3,525.32,2,2,2,6,Lost
CLR-00187,468,8,1110.85,1,3,4,8,At Risk
CLR-00188,17,1,73.9,5,1,1,7,New Customers
CLR-00189,396,1,96.9,1,1,1,3,Lost
CLR-00190,160,8,1168.65,3,3,4,10,Loyal Customers
CLR-00191,139,10,1392.39,3,4,4,11,Loyal Customers
CLR-00192,298,1,167.9,2,1,1,4,Lost
CLR-00193,84,4,309.73,3,2,2,7,Potential Loyalists
CLR-00194,385,5,597.49,1,2,3,6,Lost
CLR-00195,158,2,121.8,3,1,1,5,Other
CLR-00196,11,10,1253.97,5,4,4,13,Champions
CLR-00197,12,7,807.88,5,3,3,11,Loyal Customers
CLR-00198,40,13,1437.18,4,5,4,13,Champions
CLR-00199,376,5,447.54,2,2,2,6,Lost
CLR-00200,16,8,558.5,5,3,3,11,Loyal Customers
CLR-00201,54,6,678.54,4,3,3,10,Loyal Customers
CLR-00202,368,3,999.69,2,2,4,8,Lost
CLR-00203,233,3,261.83,2,2,2,6,Lost
CLR-00205,165,15,2081.85,2,5,5,12,At Risk
CLR-00206,32,4,625.27,4,2,3,9,New Customers
CLR-00207,126,19,1702.02,3,5,5,13,Loyal Customers
CLR-00208,652,3,241.7,1,2,1,4,Lost
CLR-00209,72,7,831.51,3,3,3,9,Loyal Customers
CLR-00210,432,3,333.94,1,2,2,5,Lost
CLR-00211,161,8,864.7,3,3,3,9,Loyal Customers
CLR-00212,150,4,786.43,3,2,3,8,Potential Loyalists
CLR-00213,31,1,57.52,4,1,1,6,New Customers
CLR-00214,260,1,95.9,2,1,1,4,Lost
CLR-00215,83,1,56.02,3,1,1,5,Other
CLR-00216,344,8,721.1,2,3,3,8,At Risk
CLR-00217,110,1,60.9,3,1,1,5,Other
CLR-00218,31,4,517.41,4,2,2,8,New Customers
CLR-00219,172,14,1820.89,2,5,5,12,At Risk
CLR-00220,612,5,383.96,1,2,2,5,Lost
CLR-00221,10,10,1137.1,5,4,4,13,Champions
CLR-00222,274,16,1675.88,2,5,5,12,At Risk
CLR-00224,415,11,1007.79,1,4,4,9,At Risk
CLR-00225,24,15,1573.9,5,5,5,15,Champions
CLR-00226,180,8,707.8,2,3,3,8,At Risk
CLR-00227,621,2,152.8,1,1,1,3,Lost
CLR-00228,7,5,389.14,5,2,2,9,New Customers
CLR-00229,30,35,4723.19,4,5,5,14,Champions
CLR-00230,547,1,70.46,1,1,1,3,Lost
CLR-00231,461,8,547.16,1,3,3,7,At Risk
CLR-00232,473,10,1041.91,1,4,4,9,At Risk
CLR-00233,185,6,691.51,2,3,3,8,At Risk
CLR-00234,545,4,422.66,1,2,2,5,Lost
CLR-00235,89,9,961.43,3,4,4,11,Loyal Customers
CLR-00236,424,6,913.26,1,3,4,8,At Risk
CLR-00237,154,3,366.62,3,2,2,7,Potential Loyalists
CLR-00238,386,1,55.17,1,1,1,3,Lost
CLR-00239,123,10,1115.12,3,4,4,11,Loyal Customers
CLR-00240,73,2,190.28,3,1,1,5,Other
CLR-00241,130,1,509.7,3,1,2,6,Potential Loyalists
CLR-00242,2,5,385.52,5,2,2,9,New Customers
CLR-00243,517,7,832.51,1,3,3,7,At Risk
CLR-00244,623,5,503.92,1,2,2,5,Lost
CLR-00245,6,23,2991.78,5,5,5,15,Champions
CLR-00246,181,11,1030.33,2,4,4,10,At Risk
CLR-00247,72,11,1144.66,3,4,4,11,Loyal Customers
CLR-00248,243,1,85.52,2,1,1,4,Lost
CLR-00249,20,5,411.74,5,2,2,9,New Customers
CLR-00250,128,1,117.81,3,1,1,5,Other
CLR-00251,38,1,71.33,4,1,1,6,New Customers
CLR-00252,215,24,2870.47,2,5,5,12,At Risk
CLR-00253,30,7,629.24,4,3,3,10,Loyal Customers
CLR-00254,923,1,127.35,1,1,1,3,Lost
CLR-00255,33,25,3009.81,4,5,5,14,Champions
CLR-00256,548,1,101.52,1,1,1,3,Lost
CLR-00258,143,15,1700.71,3,5,5,13,Loyal Customers
CLR-00259,187,15,1992.05,2,5,5,12,At Risk
CLR-00260,34,26,2863.48,4,5,5,14,Champions
CLR-00261,50,7,906.21,4,3,4,11,Loyal Customers
CLR-00262,212,6,426.58,2,3,2,7,Other
CLR-00263,555,3,411.27,1,2,2,5,Lost
CLR-00264,79,2,405.72,3,1,2,6,Potential Loyalists
CLR-00265,4,3,455.96,5,2,2,9,New Customers
CLR-00266,20,8,629.04,5,3,3,11,Loyal Customers
CLR-00267,26,3,347.94,5,2,2,9,New Customers
CLR-00268,731,3,279.02,1,2,2,5,Lost
CLR-00269,76,12,1291.16,3,4,4,11,Loyal Customers
CLR-00270,11,2,192.8,5,1,1,7,New Customers
CLR-00271,192,7,724.2,2,3,3,8,At Risk
CLR-00272,483,6,709.79,1,3,3,7,At Risk
CLR-00273,200,8,662.13,2,3,3,8,At Risk
CLR-00274,592,1,333.03,1,1,2,4,Lost
CLR-00275,186,11,902.72,2,4,4,10,At Risk
CLR-00276,196,1,53.52,2,1,1,4,Lost
CLR-00277,23,2,209.86,5,1,1,7,New Customers
CLR-00278,115,4,483.36,3,2,2,7,Potential Loyalists
CLR-00279,429,12,1496.26,1,4,5,10,At Risk
CLR-00280,60,3,439.72,4,2,2,8,New Customers
CLR-00281,167,2,414.81,2,1,2,5,Lost
CLR-00282,599,8,924.48,1,3,4,8,At Risk
CLR-00283,4,6,810.47,5,3,3,11,Loyal Customers
CLR-00284,32,5,463.14,4,2,2,8,New Customers
CLR-00285,176,1,78.96,2,1,1,4,Lost
CLR-00286,98,8,928.68,3,3,4,10,Loyal Customers
CLR-00287,327,3,477.5,2,2,2,6,Lost
CLR-00288,44,2,152.52,4,1,1,6,New Customers
CLR-00289,102,6,838.66,3,3,3,9,Loyal Customers
CLR-00290,215,6,532.04,2,3,3,8,At Risk
CLR-00291,100,2,135.72,3,1,1,5,Other
CLR-00292,147,2,164.93,3,1,1,5,Other
CLR-00293,3,23,2889.29,5,5,5,15,Champions
CLR-00294,826,2,195.36,1,1,1,3,Lost
CLR-00295,188,2,236.12,2,1,1,4,Lost
CLR-00296,44,29,3403.04,4,5,5,14,Champions
CLR-00297,192,2,193.85,2,1,1,4,Lost
CLR-00298,16,10,808.47,5,4,3,12,Loyal Customers
CLR-00299,5,15,1824.3,5,5,5,15,Champions
CLR-00300,403,2,169.83,1,1,1,3,Lost
CLR-00301,241,2,139.62,2,1,1,4,Lost
CLR-00302,435,7,664.86,1,3,3,7,At Risk
CLR-00303,43,6,990.22,4,3,4,11,Loyal Customers
CLR-00304,78,16,1821.11,3,5,5,13,Loyal Customers
CLR-00305,137,11,1101.89,3,4,4,11,Loyal Customers
CLR-00306,82,6,622.24,3,3,3,9,Loyal Customers
CLR-00307,8,12,1612.23,5,4,5,14,Champions
CLR-00308,288,2,202.8,2,1,1,4,Lost
CLR-00309,43,4,280.0,4,2,2,8,New Customers
CLR-00310,180,26,2848.17,2,5,5,12,At Risk
CLR-00311,6,6,644.95,5,3,3,11,Loyal Customers
CLR-00312,68,19,2374.97,4,5,5,14,Champions
CLR-00313,519,3,193.31,1,2,1,4,Lost
CLR-00314,469,3,143.01,1,2,1,4,Lost
CLR-00315,209,4,453.6,2,2,2,6,Lost
CLR-00316,49,12,1629.94,4,4,5,13,Champions
CLR-00317,213,1,93.51,2,1,1,4,Lost
CLR-00318,49,15,1589.89,4,5,5,14,Champions
CLR-00319,34,29,3244.96,4,5,5,14,Champions
CLR-00320,382,1,25.11,2,1,1,4,Lost
CLR-00321,203,12,1156.4,2,4,4,10,At Risk
CLR-00322,56,2,192.19,4,1,1,6,New Customers
CLR-00323,55,9,1036.81,4,4,4,12,Champions
CLR-00324,49,24,2550.37,4,5,5,14,Champions
CLR-00325,57,5,559.48,4,2,3,9,New Customers
CLR-00326,18,41,5185.92,5,5,5,15,Champions
CLR-00327,6,6,658.28,5,3,3,11,Loyal Customers
CLR-00328,1065,1,35.91,1,1,1,3,Lost
CLR-00329,11,11,1146.65,5,4,4,13,Champions
CLR-00330,34,5,599.05,4,2,3,9,New Customers
CLR-00331,229,5,410.05,2,2,2,6,Lost
CLR-00332,375,19,3210.65,2,5,5,12,At Risk
CLR-00333,0,6,580.65,5,3,3,11,Loyal Customers
CLR-00334,703,5,365.03,1,2,2,5,Lost
CLR-00335,278,3,634.13,2,2,3,7,Lost
CLR-00336,14,20,2088.67,5,5,5,15,Champions
CLR-00337,49,1,133.11,4,1,1,6,New Customers
CLR-00338,46,13,1210.27,4,5,4,13,Champions
CLR-00339,33,8,814.33,4,3,3,10,Loyal Customers
CLR-00340,25,6,611.26,5,3,3,11,Loyal Customers
CLR-00341,170,14,2127.23,2,5,5,12,At Risk
CLR-00342,380,3,285.62,2,2,2,6,Lost
CLR-00343,160,4,335.41,3,2,2,7,Potential Loyalists
CLR-00344,187,6,751.93,2,3,3,8,At Risk
CLR-00345,56,4,380.39,4,2,2,8,New Customers
CLR-00346,96,9,1124.01,3,4,4,11,Loyal Customers
CLR-00347,284,3,508.6,2,2,2,6,Lost
CLR-00348,586,2,91.31,1,1,1,3,Lost
CLR-00349,38,7,750.03,4,3,3,10,Loyal Customers
CLR-00350,200,9,535.86,2,4,3,9,At Risk
CLR-00351,40,17,1842.22,4,5,5,14,Champions
CLR-00352,46,5,281.98,4,2,2,8,New Customers
CLR-00353,12,9,1067.11,5,4,4,13,Champions
CLR-00354,121,15,2343.03,3,5,5,13,Loyal Customers
CLR-00356,208,12,1348.66,2,4,4,10,At Risk
CLR-00357,244,19,2143.4,2,5,5,12,At Risk
CLR-00358,181,4,348.14,2,2,2,6,Lost
CLR-00359,61,7,441.74,4,3,2,9,Potential Loyalists
CLR-00360,37,19,2274.83,4,5,5,14,Champions
CLR-00361,78,5,474.73,3,2,2,7,Potential Loyalists
CLR-00362,194,1,50.33,2,1,1,4,Lost
CLR-00363,122,4,446.18,3,2,2,7,Potential Loyalists
CLR-00364,245,1,140.7,2,1,1,4,Lost
CLR-00365,13,11,1415.78,5,4,4,13,Champions
CLR-00366,248,7,913.42,2,3,4,9,At Risk
CLR-00367,1,31,4275.99,5,5,5,15,Champions
CLR-00368,61,5,431.66,4,2,2,8,New Customers
CLR-00369,25,5,852.86,5,2,3,10,New Customers
CLR-00370,36,11,1533.53,4,4,5,13,Champions
CLR-00371,1044,1,47.9,1,1,1,3,Lost
CLR-00372,21,13,1812.68,5,5,5,15,Champions
CLR-00373,40,22,2441.49,4,5,5,14,Champions
CLR-00374,168,7,1080.99,2,3,4,9,At Risk
CLR-00375,26,12,971.16,5,4,4,13,Champions
CLR-00376,143,28,2477.81,3,5,5,13,Loyal Customers
CLR-00377,125,14,1157.47,3,5,4,12,Loyal Customers
CLR-00378,105,10,955.05,3,4,4,11,Loyal Customers
CLR-00379,530,3,519.28,1,2,2,5,Lost
CLR-00380,7,10,1171.23,5,4,4,13,Champions
CLR-00381,422,2,389.96,1,1,2,4,Lost
CLR-00382,31,15,1510.95,4,5,5,14,Champions
CLR-00383,7,6,681.21,5,3,3,11,Loyal Customers
CLR-00384,38,17,1900.11,4,5,5,14,Champions
CLR-00385,53,4,393.3,4,2,2,8,New Customers
CLR-00386,5,12,1330.86,5,4,4,13,Champions
CLR-00387,32,26,3117.81,4,5,5,14,Champions
CLR-00388,56,21,2407.8,4,5,5,14,Champions
CLR-00389,44,10,1400.54,4,4,4,12,Champions
CLR-00390,74,4,366.74,3,2,2,7,Potential Loyalists
CLR-00391,32,10,1072.82,4,4,4,12,Champions
CLR-00392,89,10,1441.37,3,4,4,11,Loyal Customers
CLR-00393,32,18,2217.0,4,5,5,14,Champions
CLR-00394,1043,1,59.9,1,1,1,3,Lost
CLR-00395,215,3,223.91,2,2,1,5,Lost
CLR-00396,186,5,400.27,2,2,2,6,Lost
CLR-00397,198,13,1713.65,2,5,5,12,At Risk
CLR-00398,259,2,96.82,2,1,1,4,Lost
CLR-00399,683,3,301.17,1,2,2,5,Lost
CLR-00400,42,3,171.64,4,2,1,7,New Customers
CLR-00401,219,9,1547.74,2,4,5,11,At Risk
CLR-00402,49,10,1117.63,4,4,4,12,Champions
CLR-00403,139,3,401.14,3,2,2,7,Potential Loyalists
CLR-00404,32,27,3091.01,4,5,5,14,Champions
CLR-00405,486,4,590.4,1,2,3,6,Lost
CLR-00406,61,30,2649.28,4,5,5,14,Champions
CLR-00407,611,1,508.13,1,1,2,4,Lost
CLR-00408,615,5,323.73,1,2,2,5,Lost
CLR-00409,8,20,2504.12,5,5,5,15,Champions
CLR-00410,585,3,309.74,1,2,2,5,Lost
CLR-00411,157,10,1013.33,3,4,4,11,Loyal Customers
CLR-00412,500,1,79.92,1,1,1,3,Lost
CLR-00413,448,1,123.9,1,1,1,3,Lost
CLR-00414,19,11,1145.94,5,4,4,13,Champions
CLR-00415,526,5,445.29,1,2,2,5,Lost
CLR-00416,42,9,1558.77,4,4,5,13,Champions
CLR-00417,7,10,799.21,5,4,3,12,Loyal Customers
CLR-00418,31,24,3250.15,4,5,5,14,Champions
CLR-00419,135,2,272.51,3,1,2,6,Potential Loyalists
CLR-00420,552,3,224.87,1,2,1,4,Lost
CLR-00421,5,7,893.55,5,3,3,11,Loyal Customers
CLR-00422,516,1,84.9,1,1,1,3,Lost
CLR-00423,128,10,1004.51,3,4,4,11,Loyal Customers
CLR-00424,421,17,2172.47,1,5,5,11,At Risk
CLR-00425,426,7,1015.26,1,3,4,8,At Risk
CLR-00426,5,5,1155.93,5,2,4,11,New Customers
CLR-00427,239,9,728.35,2,4,3,9,At Risk
CLR-00428,40,9,646.79,4,4,3,11,Loyal Customers
CLR-00429,190,5,472.55,2,2,2,6,Lost
CLR-00430,266,3,567.76,2,2,3,7,Lost
CLR-00431,28,10,968.69,5,4,4,13,Champions
CLR-00432,83,15,1637.48,3,5,5,13,Loyal Customers
CLR-00433,28,4,409.19,5,2,2,9,New Customers
CLR-00434,24,16,1451.07,5,5,4,14,Champions
CLR-00435,709,3,275.81,1,2,2,5,Lost
CLR-00436,357,1,43.9,2,1,1,4,Lost
CLR-00437,43,14,1804.32,4,5,5,14,Champions
CLR-00438,161,4,463.35,3,2,2,7,Potential Loyalists
CLR-00439,490,7,492.39,1,3,2,6,Other
CLR-00440,262,17,1546.64,2,5,5,12,At Risk
CLR-00441,47,4,376.79,4,2,2,8,New Customers
CLR-00442,33,12,1162.66,4,4,4,12,Champions
CLR-00443,104,13,1203.85,3,5,4,12,Loyal Customers
CLR-00444,60,1,72.72,4,1,1,6,New Customers
CLR-00445,100,4,439.86,3,2,2,7,Potential Loyalists
CLR-00446,13,18,2866.39,5,5,5,15,Champions
CLR-00447,24,9,1114.49,5,4,4,13,Champions
CLR-00448,0,10,923.61,5,4,4,13,Champions
CLR-00449,204,6,627.84,2,3,3,8,At Risk
CLR-00450,30,7,865.87,4,3,3,10,Loyal Customers
CLR-00451,444,13,1200.16,1,5,4,10,At Risk
CLR-00452,611,3,562.65,1,2,3,6,Lost
CLR-00453,58,6,581.59,4,3,3,10,Loyal Customers
CLR-00454,36,17,2023.56,4,5,5,14,Champions
CLR-00455,86,7,1113.43,3,3,4,10,Loyal Customers
CLR-00456,147,5,601.11,3,2,3,8,Potential Loyalists
CLR-00457,45,2,151.02,4,1,1,6,New Customers
CLR-00458,78,10,1632.04,3,4,5,12,Loyal Customers
CLR-00459,175,4,628.53,2,2,3,7,Lost
CLR-00460,407,15,1551.25,1,5,5,11,At Risk
CLR-00461,377,6,522.55,2,3,2,7,Other
CLR-00462,104,5,301.27,3,2,2,7,Potential Loyalists
CLR-00463,999,1,134.9,1,1,1,3,Lost
CLR-00464,69,34,3682.77,4,5,5,14,Champions
CLR-00465,0,31,3996.39,5,5,5,15,Champions
CLR-00466,281,2,114.01,2,1,1,4,Lost
CLR-00467,418,5,971.59,1,2,4,7,Lost
CLR-00468,46,24,2548.4,4,5,5,14,Champions
CLR-00469,12,6,977.52,5,3,4,12,Loyal Customers
CLR-00471,227,4,632.33,2,2,3,7,Lost
CLR-00472,11,19,2225.91,5,5,5,15,Champions
CLR-00473,1,12,1618.31,5,4,5,14,Champions
CLR-00474,789,7,547.57,1,3,3,7,At Risk
CLR-00475,36,14,1730.56,4,5,5,14,Champions
CLR-00476,465,6,560.33,1,3,3,7,At Risk
CLR-00477,120,22,2419.48,3,5,5,13,Loyal Customers
CLR-00478,50,9,1204.51,4,4,4,12,Champions
CLR-00479,394,9,1473.45,1,4,5,10,At Risk
CLR-00480,150,3,216.51,3,2,1,6,Other
CLR-00481,550,3,240.06,1,2,1,4,Lost
CLR-00482,108,1,116.9,3,1,1,5,Other
CLR-00483,86,6,878.97,3,3,3,9,Loyal Customers
CLR-00484,106,1,143.56,3,1,1,5,Other
CLR-00485,52,2,556.02,4,1,3,8,New Customers
CLR-00486,479,3,261.83,1,2,2,5,Lost
CLR-00487,2,1,68.31,5,1,1,7,New Customers
CLR-00488,39,25,2703.28,4,5,5,14,Champions
CLR-00489,585,3,279.6,1,2,2,5,Lost
CLR-00490,23,13,1020.84,5,5,4,14,Champions
CLR-00491,171,16,1977.86,2,5,5,12,At Risk
CLR-00492,96,20,2235.87,3,5,5,13,Loyal Customers
CLR-00493,65,9,727.15,4,4,3,11,Loyal Customers
CLR-00494,310,1,214.11,2,1,1,4,Lost
CLR-00495,68,14,1316.49,4,5,4,13,Champions
CLR-00496,131,1,189.52,3,1,1,5,Other
CLR-00497,653,1,141.9,1,1,1,3,Lost
CLR-00498,233,3,291.34,2,2,2,6,Lost
CLR-00499,198,4,380.32,2,2,2,6,Lost
CLR-00500,30,4,657.61,4,2,3,9,New Customers
