customer_id,first_purchase,last_purchase,total_transactions,total_spent,avg_order_value,days_since_last,is_churned
CLR-00124,2022-01-26,2024-09-29,18,2469.71,137.21,93,False
CLR-00125,2022-01-02,2024-08-20,11,1473.14,133.92,133,False
CLR-00126,2023-07-27,2024-01-14,2,248.53,124.26,352,True
CLR-00127,2023-08-08,2023-08-08,1,72.9,72.9,511,True
CLR-00128,2022-06-29,2024-12-18,20,2547.84,127.39,13,False
CLR-00129,2024-07-16,2024-07-16,1,77.8,77.8,168,False
CLR-00130,2022-01-16,2024-10-05,13,1230.91,94.69,87,False
CLR-00131,2024-02-26,2024-12-03,4,227.39,56.85,28,False
CLR-00132,2024-03-03,2024-03-03,1,195.9,195.9,303,True
CLR-00133,2022-01-28,2024-10-24,17,1667.02,98.06,68,False
CLR-00134,2024-07-24,2024-11-04,2,206.8,103.4,57,False
CLR-00135,2022-09-20,2023-04-15,2,329.8,164.9,626,True
CLR-00136,2022-06-03,2023-11-12,15,1537.31,102.49,415,True
CLR-00137,2022-09-07,2024-12-22,19,2550.58,134.24,9,False
CLR-00138,2022-09-05,2024-10-28,4,282.36,70.59,64,False
CLR-00139,2022-07-07,2024-04-01,9,863.98,96.0,274,True
CLR-00140,2022-05-30,2024-10-13,5,686.03,137.21,79,False
CLR-00141,2023-07-28,2024-09-03,3,116.92,38.97,119,False
CLR-00142,2024-10-19,2024-10-19,1,51.21,51.21,73,False
CLR-00143,2024-01-16,2024-10-26,4,303.85,75.96,66,False
CLR-00144,2022-11-17,2024-12-05,9,860.58,95.62,26,False
CLR-00145,2023-05-20,2024-10-03,9,1223.14,135.9,89,False
CLR-00146,2022-03-18,2022-03-18,1,122.9,122.9,1019,True
CLR-00147,2022-02-14,2024-08-19,7,920.61,131.52,134,False
CLR-00148,2022-01-24,2024-12-16,11,1255.02,114.09,15,False
CLR-00149,2022-03-02,2023-03-25,7,828.09,118.3,647,True
CLR-00150,2023-04-01,2024-05-16,7,526.25,75.18,229,True
CLR-00151,2023-05-15,2024-11-17,2,148.92,74.46,44,False
CLR-00152,2022-06-19,2024-12-13,14,1192.25,85.16,18,False
CLR-00153,2023-03-29,2024-07-11,3,324.78,108.26,173,False
CLR-00154,2023-12-26,2024-06-01,5,788.36,157.67,213,True
CLR-00155,2023-07-29,2024-10-01,3,493.91,164.64,91,False
CLR-00156,2022-08-10,2023-02-24,2,283.6,141.8,676,True
CLR-00157,2022-01-05,2023-04-29,3,494.02,164.67,612,True
CLR-00158,2022-07-09,2023-04-22,3,233.45,77.82,619,True
CLR-00159,2023-11-07,2024-09-06,3,261.71,87.24,116,False
CLR-00160,2023-03-31,2024-07-30,4,197.64,49.41,154,False
CLR-00161,2022-04-18,2024-04-27,9,700.99,77.89,248,True
CLR-00162,2023-09-06,2023-11-21,2,246.82,123.41,406,True
CLR-00163,2022-02-12,2024-11-01,19,2320.47,122.13,60,False
CLR-00164,2022-04-21,2024-07-18,3,429.31,143.1,166,False
CLR-00166,2023-01-20,2023-08-31,4,499.54,124.88,488,True
CLR-00167,2022-05-13,2023-09-17,2,336.01,168.0,471,True
CLR-00168,2022-04-19,2024-08-05,12,1241.75,103.48,148,False
CLR-00169,2024-10-14,2024-12-31,4,850.04,212.51,0,False
CLR-00170,2022-01-07,2024-12-22,20,2052.61,102.63,9,False
CLR-00171,2022-01-17,2024-10-29,19,2417.15,127.22,63,False
CLR-00173,2022-06-08,2023-10-20,3,419.62,139.87,438,True
CLR-00174,2022-01-09,2023-10-25,6,797.09,132.85,433,True
CLR-00175,2024-04-11,2024-09-24,6,720.6,120.1,98,False
CLR-00176,2022-01-12,2023-08-18,17,1767.91,103.99,501,True
CLR-00177,2022-04-17,2024-01-29,8,853.7,106.71,337,True
CLR-00178,2022-01-07,2023-09-02,7,1100.47,157.21,486,True
CLR-00179,2024-07-15,2024-07-15,1,119.9,119.9,169,False
CLR-00180,2023-05-27,2024-09-12,3,336.42,112.14,110,False
CLR-00181,2022-01-23,2024-12-31,30,2409.2,80.31,0,False
CLR-00182,2022-05-25,2024-12-26,30,4158.83,138.63,5,False
CLR-00183,2023-06-28,2024-06-15,3,319.07,106.36,199,True
CLR-00184,2022-10-20,2024-12-12,12,1460.92,121.74,19,False
CLR-00185,2024-08-06,2024-12-28,4,381.1,95.28,3,False
CLR-00186,2023-06-03,2024-02-13,3,525.32,175.11,322,True
CLR-00187,2022-05-01,2023-09-20,8,1110.85,138.86,468,True
CLR-00188,2024-12-14,2024-12-14,1,73.9,73.9,17,False
CLR-00189,2023-12-01,2023-12-01,1,96.9,96.9,396,True
CLR-00190,2022-09-26,2024-07-24,8,1168.65,146.08,160,False
CLR-00191,2022-01-09,2024-08-14,10,1392.39,139.24,139,False
CLR-00192,2024-03-08,2024-03-08,1,167.9,167.9,298,True
CLR-00193,2023-01-15,2024-10-08,4,309.73,77.43,84,False
CLR-00194,2022-09-25,2023-12-12,5,597.49,119.5,385,True
CLR-00195,2024-05-23,2024-07-26,2,121.8,60.9,158,False
CLR-00196,2023-02-12,2024-12-20,10,1253.97,125.4,11,False
CLR-00197,2024-07-05,2024-12-19,7,807.88,115.41,12,False
CLR-00198,2022-02-20,2024-11-21,13,1437.18,110.55,40,False
CLR-00199,2022-01-14,2023-12-21,5,447.54,89.51,376,True
CLR-00200,2022-06-30,2024-12-15,8,558.5,69.81,16,False
CLR-00201,2022-02-13,2024-11-07,6,678.54,113.09,54,False
CLR-00202,2022-05-20,2023-12-29,3,999.69,333.23,368,True
CLR-00203,2022-12-11,2024-05-12,3,261.83,87.28,233,True
CLR-00205,2022-01-09,2024-07-19,15,2081.85,138.79,165,False
CLR-00206,2023-11-27,2024-11-29,4,625.27,156.32,32,False
CLR-00207,2022-03-30,2024-08-27,19,1702.02,89.58,126,False
CLR-00208,2022-02-26,2023-03-20,3,241.7,80.57,652,True
CLR-00209,2023-10-03,2024-10-20,7,831.51,118.79,72,False
CLR-00210,2023-06-12,2023-10-26,3,333.94,111.31,432,True
CLR-00211,2022-11-09,2024-07-23,8,864.7,108.09,161,False
CLR-00212,2024-06-10,2024-08-03,4,786.43,196.61,150,False
CLR-00213,2024-11-30,2024-11-30,1,57.52,57.52,31,False
CLR-00214,2024-04-15,2024-04-15,1,95.9,95.9,260,True
CLR-00215,2024-10-09,2024-10-09,1,56.02,56.02,83,False
CLR-00216,2022-01-13,2024-01-22,8,721.1,90.14,344,True
CLR-00217,2024-09-12,2024-09-12,1,60.9,60.9,110,False
CLR-00218,2023-01-17,2024-11-30,4,517.41,129.35,31,False
CLR-00219,2022-01-15,2024-07-12,14,1820.89,130.06,172,False
CLR-00220,2022-01-16,2023-04-29,5,383.96,76.79,612,True
CLR-00221,2024-06-17,2024-12-21,10,1137.1,113.71,10,False
CLR-00222,2022-01-09,2024-04-01,16,1675.88,104.74,274,True
CLR-00224,2022-01-05,2023-11-12,11,1007.79,91.62,415,True
CLR-00225,2023-04-08,2024-12-07,15,1573.9,104.93,24,False
CLR-00226,2022-11-13,2024-07-04,8,707.8,88.48,180,False
CLR-00227,2023-03-20,2023-04-20,2,152.8,76.4,621,True
CLR-00228,2024-04-18,2024-12-24,5,389.14,77.83,7,False
CLR-00229,2022-02-05,2024-12-01,35,4723.19,134.95,30,False
CLR-00230,2023-07-03,2023-07-03,1,70.46,70.46,547,True
CLR-00231,2022-05-11,2023-09-27,8,547.16,68.4,461,True
CLR-00232,2022-04-15,2023-09-15,10,1041.91,104.19,473,True
CLR-00233,2022-02-07,2024-06-29,6,691.51,115.25,185,True
CLR-00234,2023-06-04,2023-07-05,4,422.66,105.66,545,True
CLR-00235,2022-01-21,2024-10-03,9,961.43,106.83,89,False
CLR-00236,2022-09-26,2023-11-03,6,913.26,152.21,424,True
CLR-00237,2023-01-21,2024-07-30,3,366.62,122.21,154,False
CLR-00238,2023-12-11,2023-12-11,1,55.17,55.17,386,True
CLR-00239,2022-12-01,2024-08-30,10,1115.12,111.51,123,False
CLR-00240,2024-06-09,2024-10-19,2,190.28,95.14,73,False
CLR-00241,2024-08-23,2024-08-23,1,509.7,509.7,130,False
CLR-00242,2024-04-16,2024-12-29,5,385.52,77.1,2,False
CLR-00243,2022-01-30,2023-08-02,7,832.51,118.93,517,True
CLR-00244,2022-06-19,2023-04-18,5,503.92,100.78,623,True
CLR-00245,2022-05-04,2024-12-25,23,2991.78,130.08,6,False
CLR-00246,2022-01-08,2024-07-03,11,1030.33,93.67,181,True
CLR-00247,2022-01-30,2024-10-20,11,1144.66,104.06,72,False
CLR-00248,2024-05-02,2024-05-02,1,85.52,85.52,243,True
CLR-00249,2022-09-28,2024-12-11,5,411.74,82.35,20,False
CLR-00250,2024-08-25,2024-08-25,1,117.81,117.81,128,False
CLR-00251,2024-11-23,2024-11-23,1,71.33,71.33,38,False
CLR-00252,2022-01-08,2024-05-30,24,2870.47,119.6,215,True
CLR-00253,2024-01-31,2024-12-01,7,629.24,89.89,30,False
CLR-00254,2022-06-22,2022-06-22,1,127.35,127.35,923,True
CLR-00255,2022-02-11,2024-11-28,25,3009.81,120.39,33,False
CLR-00256,2023-07-02,2023-07-02,1,101.52,101.52,548,True
CLR-00258,2022-01-02,2024-08-10,15,1700.71,113.38,143,False
CLR-00259,2022-01-25,2024-06-27,15,1992.05,132.8,187,True
CLR-00260,2022-01-25,2024-11-27,26,2863.48,110.13,34,False
CLR-00261,2023-08-06,2024-11-11,7,906.21,129.46,50,False
CLR-00262,2022-05-06,2024-06-02,6,426.58,71.1,212,True
CLR-00263,2023-01-07,2023-06-25,3,411.27,137.09,555,True
CLR-00264,2024-10-11,2024-10-13,2,405.72,202.86,79,False
CLR-00265,2024-08-18,2024-12-27,3,455.96,151.99,4,False
CLR-00266,2022-05-20,2024-12-11,8,629.04,78.63,20,False
CLR-00267,2024-04-18,2024-12-05,3,347.94,115.98,26,False
CLR-00268,2022-03-29,2022-12-31,3,279.02,93.01,731,True
CLR-00269,2022-01-19,2024-10-16,12,1291.16,107.6,76,False
CLR-00270,2024-11-25,2024-12-20,2,192.8,96.4,11,False
CLR-00271,2022-03-20,2024-06-22,7,724.2,103.46,192,True
CLR-00272,2022-12-11,2023-09-05,6,709.79,118.3,483,True
CLR-00273,2022-06-24,2024-06-14,8,662.13,82.77,200,True
CLR-00274,2023-05-19,2023-05-19,1,333.03,333.03,592,True
CLR-00275,2022-01-22,2024-06-28,11,902.72,82.07,186,True
CLR-00276,2024-06-18,2024-06-18,1,53.52,53.52,196,True
CLR-00277,2024-10-10,2024-12-08,2,209.86,104.93,23,False
CLR-00278,2022-11-20,2024-09-07,4,483.36,120.84,115,False
CLR-00279,2022-01-01,2023-10-29,12,1496.26,124.69,429,True
CLR-00280,2024-05-04,2024-11-01,3,439.72,146.57,60,False
CLR-00281,2022-02-19,2024-07-17,2,414.81,207.4,167,False
CLR-00282,2022-08-07,2023-05-12,8,924.48,115.56,599,True
CLR-00283,2022-01-25,2024-12-27,6,810.47,135.08,4,False
CLR-00284,2023-12-31,2024-11-29,5,463.14,92.63,32,False
CLR-00285,2024-07-08,2024-07-08,1,78.96,78.96,176,False
CLR-00286,2022-07-19,2024-09-24,8,928.68,116.08,98,False
CLR-00287,2023-11-19,2024-02-08,3,477.5,159.17,327,True
CLR-00288,2024-09-02,2024-11-17,2,152.52,76.26,44,False
CLR-00289,2023-04-15,2024-09-20,6,838.66,139.78,102,False
CLR-00290,2022-08-03,2024-05-30,6,532.04,88.67,215,True
CLR-00291,2022-09-05,2024-09-22,2,135.72,67.86,100,False
CLR-00292,2024-06-16,2024-08-06,2,164.93,82.46,147,False
CLR-00293,2022-01-19,2024-12-28,23,2889.29,125.62,3,False
CLR-00294,2022-05-03,2022-09-27,2,195.36,97.68,826,True
CLR-00295,2023-08-19,2024-06-26,2,236.12,118.06,188,True
CLR-00296,2022-01-21,2024-11-17,29,3403.04,117.35,44,False
CLR-00297,2023-11-13,2024-06-22,2,193.85,96.92,192,True
CLR-00298,2022-02-27,2024-12-15,10,808.47,80.85,16,False
CLR-00299,2022-01-02,2024-12-26,15,1824.3,121.62,5,False
CLR-00300,2023-05-03,2023-11-24,2,169.83,84.92,403,True
CLR-00301,2024-03-28,2024-05-04,2,139.62,69.81,241,True
CLR-00302,2022-01-29,2023-10-23,7,664.86,94.98,435,True
CLR-00303,2023-10-22,2024-11-18,6,990.22,165.04,43,False
CLR-00304,2022-02-23,2024-10-14,16,1821.11,113.82,78,False
CLR-00305,2023-10-16,2024-08-16,11,1101.89,100.17,137,False
CLR-00306,2023-05-15,2024-10-10,6,622.24,103.71,82,False
CLR-00307,2022-03-07,2024-12-23,12,1612.23,134.35,8,False
CLR-00308,2023-08-01,2024-03-18,2,202.8,101.4,288,True
CLR-00309,2023-09-01,2024-11-18,4,280.0,70.0,43,False
CLR-00310,2022-02-19,2024-07-04,26,2848.17,109.54,180,False
CLR-00311,2024-09-15,2024-12-25,6,644.95,107.49,6,False
CLR-00312,2022-07-06,2024-10-24,19,2374.97,125.0,68,False
CLR-00313,2023-01-16,2023-07-31,3,193.31,64.44,519,True
CLR-00314,2023-07-07,2023-09-19,3,143.01,47.67,469,True
CLR-00315,2022-10-25,2024-06-05,4,453.6,113.4,209,True
CLR-00316,2022-06-12,2024-11-12,12,1629.94,135.83,49,False
CLR-00317,2024-06-01,2024-06-01,1,93.51,93.51,213,True
CLR-00318,2022-01-01,2024-11-12,15,1589.89,105.99,49,False
CLR-00319,2022-01-17,2024-11-27,29,3244.96,111.9,34,False
CLR-00320,2023-12-15,2023-12-15,1,25.11,25.11,382,True
CLR-00321,2022-02-10,2024-06-11,12,1156.4,96.37,203,True
CLR-00322,2023-09-19,2024-11-05,2,192.19,96.1,56,False
CLR-00323,2022-01-06,2024-11-06,9,1036.81,115.2,55,False
CLR-00324,2022-04-03,2024-11-12,24,2550.37,106.27,49,False
CLR-00325,2024-01-08,2024-11-04,5,559.48,111.9,57,False
CLR-00326,2022-01-09,2024-12-13,41,5185.92,126.49,18,False
CLR-00327,2022-08-06,2024-12-25,6,658.28,109.71,6,False
CLR-00328,2022-01-31,2022-01-31,1,35.91,35.91,1065,True
CLR-00329,2022-05-23,2024-12-20,11,1146.65,104.24,11,False
CLR-00330,2023-05-26,2024-11-27,5,599.05,119.81,34,False
CLR-00331,2022-04-08,2024-05-16,5,410.05,82.01,229,True
CLR-00332,2022-02-06,2023-12-22,19,3210.65,168.98,375,True
CLR-00333,2024-07-23,2024-12-31,6,580.65,96.78,0,False
CLR-00334,2022-06-08,2023-01-28,5,365.03,73.01,703,True
CLR-00335,2022-03-19,2024-03-28,3,634.13,211.38,278,True
CLR-00336,2022-01-26,2024-12-17,20,2088.67,104.43,14,False
CLR-00337,2024-11-12,2024-11-12,1,133.11,133.11,49,False
CLR-00338,2022-02-17,2024-11-15,13,1210.27,93.1,46,False
CLR-00339,2022-01-14,2024-11-28,8,814.33,101.79,33,False
CLR-00340,2022-08-29,2024-12-06,6,611.26,101.88,25,False
CLR-00341,2022-01-14,2024-07-14,14,2127.23,151.94,170,False
CLR-00342,2022-12-08,2023-12-17,3,285.62,95.21,380,True
CLR-00343,2023-07-07,2024-07-24,4,335.41,83.85,160,False
CLR-00344,2023-10-29,2024-06-27,6,751.93,125.32,187,True
CLR-00345,2023-07-12,2024-11-05,4,380.39,95.1,56,False
CLR-00346,2022-03-09,2024-09-26,9,1124.01,124.89,96,False
CLR-00347,2022-03-29,2024-03-22,3,508.6,169.53,284,True
CLR-00348,2022-05-15,2023-05-25,2,91.31,45.66,586,True
CLR-00349,2023-12-02,2024-11-23,7,750.03,107.15,38,False
CLR-00350,2022-02-06,2024-06-14,9,535.86,59.54,200,True
CLR-00351,2022-01-08,2024-11-21,17,1842.22,108.37,40,False
CLR-00352,2023-11-01,2024-11-15,5,281.98,56.4,46,False
CLR-00353,2022-08-08,2024-12-19,9,1067.11,118.57,12,False
CLR-00354,2022-03-24,2024-09-01,15,2343.03,156.2,121,False
CLR-00356,2022-02-08,2024-06-06,12,1348.66,112.39,208,True
CLR-00357,2022-05-04,2024-05-01,19,2143.4,112.81,244,True
CLR-00358,2022-09-20,2024-07-03,4,348.14,87.04,181,True
CLR-00359,2022-06-02,2024-10-31,7,441.74,63.11,61,False
CLR-00360,2022-01-06,2024-11-24,19,2274.83,119.73,37,False
CLR-00361,2023-05-15,2024-10-14,5,474.73,94.95,78,False
CLR-00362,2024-06-20,2024-06-20,1,50.33,50.33,194,True
CLR-00363,2023-05-27,2024-08-31,4,446.18,111.54,122,False
CLR-00364,2024-04-30,2024-04-30,1,140.7,140.7,245,True
CLR-00365,2022-01-17,2024-12-18,11,1415.78,128.71,13,False
CLR-00366,2022-01-15,2024-04-27,7,913.42,130.49,248,True
CLR-00367,2022-01-19,2024-12-30,31,4275.99,137.94,1,False
CLR-00368,2023-04-15,2024-10-31,5,431.66,86.33,61,False
CLR-00369,2022-01-25,2024-12-06,5,852.86,170.57,25,False
CLR-00370,2023-09-09,2024-11-25,11,1533.53,139.41,36,False
CLR-00371,2022-02-21,2022-02-21,1,47.9,47.9,1044,True
CLR-00372,2022-03-19,2024-12-10,13,1812.68,139.44,21,False
CLR-00373,2022-03-26,2024-11-21,22,2441.49,110.98,40,False
CLR-00374,2023-07-23,2024-07-16,7,1080.99,154.43,168,False
CLR-00375,2022-05-06,2024-12-05,12,971.16,80.93,26,False
CLR-00376,2022-01-15,2024-08-10,28,2477.81,88.49,143,False
CLR-00377,2022-07-19,2024-08-28,14,1157.47,82.68,125,False
CLR-00378,2022-04-01,2024-09-17,10,955.05,95.5,105,False
CLR-00379,2022-03-24,2023-07-20,3,519.28,173.09,530,True
CLR-00380,2022-02-01,2024-12-24,10,1171.23,117.12,7,False
CLR-00381,2023-09-30,2023-11-05,2,389.96,194.98,422,True
CLR-00382,2022-01-06,2024-11-30,15,1510.95,100.73,31,False
CLR-00383,2022-07-12,2024-12-24,6,681.21,113.54,7,False
CLR-00384,2022-03-10,2024-11-23,17,1900.11,111.77,38,False
CLR-00385,2022-05-10,2024-11-08,4,393.3,98.32,53,False
CLR-00386,2023-01-08,2024-12-26,12,1330.86,110.91,5,False
CLR-00387,2022-01-01,2024-11-29,26,3117.81,119.92,32,False
CLR-00388,2022-03-03,2024-11-05,21,2407.8,114.66,56,False
CLR-00389,2022-01-20,2024-11-17,10,1400.54,140.05,44,False
CLR-00390,2022-01-22,2024-10-18,4,366.74,91.68,74,False
CLR-00391,2023-03-21,2024-11-29,10,1072.82,107.28,32,False
CLR-00392,2022-09-08,2024-10-03,10,1441.37,144.14,89,False
CLR-00393,2022-04-26,2024-11-29,18,2217.0,123.17,32,False
CLR-00394,2022-02-22,2022-02-22,1,59.9,59.9,1043,True
CLR-00395,2022-04-12,2024-05-30,3,223.91,74.64,215,True
CLR-00396,2022-03-19,2024-06-28,5,400.27,80.05,186,True
CLR-00397,2022-02-02,2024-06-16,13,1713.65,131.82,198,True
CLR-00398,2023-10-11,2024-04-16,2,96.82,48.41,259,True
CLR-00399,2022-02-04,2023-02-17,3,301.17,100.39,683,True
CLR-00400,2023-02-03,2024-11-19,3,171.64,57.21,42,False
CLR-00401,2022-04-24,2024-05-26,9,1547.74,171.97,219,True
CLR-00402,2022-05-04,2024-11-12,10,1117.63,111.76,49,False
CLR-00403,2024-07-03,2024-08-14,3,401.14,133.71,139,False
CLR-00404,2022-01-16,2024-11-29,27,3091.01,114.48,32,False
CLR-00405,2022-08-28,2023-09-02,4,590.4,147.6,486,True
